#1 Driver,Lightning,Fairway Driver,""
Blitz,Latitude 64,Distance Driver,"12, 3, 0, 4"
Blowfly,DGA,Putt & Approach,""
Blowfly II,DGA,Putt & Approach,"3, 2, -1, 1"
Blunt Driver,DGA,Putt & Approach,""
Blunt Gumbputt,DGA,Putt & Approach,"2, 2, 0, 2"
Blurr,Gateway,Distance Driver,""
Boa,Reptilian Disc Golf,Fairway Driver,""
Boatman,Westside,Distance Driver,"11, 5, 0, 2"
Bobcat,Mint,Mid-Range,""
Bolt,Latitude 64,Distance Driver,"13, 6, -2, 3"
Bomb,CHING,Fairway Driver,""
Boom,DKG,Distance Driver,""
Boss,Innova,Distance Driver,"13, 5, 0, 3"
Bounty,Dynamic Discs,Mid-Range,"4, 5, -1, 0"
Breaker,DGA,Putt & Approach,"4, 3, 0, 3"
Breakout,Dynamic Discs,Fairway Driver,"8, 5, -1, 1"
Breeze,Discraft,Mid-Range,""
Brontosaurus,Dino Discs,Mid-Range,"5, 5, -1, 0"
Bryce,Latitude 64,Fairway Driver,"9, 6, -2, 2"
Buffalo,Daredevil,Distance Driver,"9, 4, -1, 5"
Bulldog,Innova,Mid-Range,"4, 3, 0, 2"
Bullet,Mint Discs,Putt & Approach,"2, 3, 0, 1"
Bullfrog,Innova,Putt & Approach,"3, 1, 0, 1"
Buzzz,Discraft,Mid-Range,"5, 4, -1, 1"
Buzzz OS,Discraft,Mid-Range,"5, 4, 0, 3"
Buzzz SS,Discraft,Mid-Range,"5, 4, -2, 1"
Buzzz-GT,Discraft,Mid-Range,"5, 5, 0, 1"
C4,Arsenal,Putt & Approach,""
Caiman,Innova,Mid-Range,"5, 2, 0, 4"
Caldera,Obsidian Discs,Distance Driver,""
Caltrop,Latitude 64,Putt & Approach,"2, 2, 0, 2"
Cannon,Legacy,Distance Driver,"14, 5, -3, 3"
Captain,Dynamic Discs,Distance Driver,"13, 5, -2, 2"
Caribou,Daredevil,Mid-Range,"4, 5, -3, 1"
Catalyst,MVP,Distance Driver,"13, 6, -2, 2"
Catapult,Westside,Distance Driver,"14, 4, 0, 3"
CD Craze,Discmania,Distance Driver,"10, 5, -1, 2"
CD2,Discmania,Distance Driver,"9, 5, -1, 2"
CD3,Discmania,Distance Driver,"11, 5, -1, 2"
Cell,Salient Discs,Mid-Range,""
Centurion,Infinite Discs,Fairway Driver,"7, 5, -1, 1"
Chainsaw,Black Zombie,Putt & Approach,""
Challenger,Discraft,Putt & Approach,"2, 3, 0, 2"
Challenger OS,Discraft,Putt & Approach,"3, 5, 0, 2"
Challenger SS,Discraft,Putt & Approach,"2, 4, -1, 2"
Charge,TOBU Discs,Fairway Driver,""
Chariot,Infinite Discs,Mid-Range,"5, 5, 0, 1"
Cheetah,Innova,Fairway Driver,"6, 4, -2, 2"
Chief,Gateway,Putt & Approach,"3, 3, 0, 1"
Chief OS,Gateway,Putt & Approach,"3, 3, 0, 2"
Chimera,Deity Discs,Distance Driver,""
Chromium,Element Discs,Fairway Driver,"9, 5, -1, 1"
Cinder,Obsidian Discs,Fairway Driver,""
Clash,Axiom,Fairway Driver,"7, 4, -1, 2"
Classic Ace,Innova,Putt & Approach,""
Classic Cobra,Innova,Mid-Range,""
Classic Inferno,Quest AT,Distance Driver,""
Classic Roc,Innova,Putt & Approach,"3, 3, 0, 2"
Claws,YiKun,Putt & Approach,""
Claymore,Latitude 64,Mid-Range,"5, 5, -1, 1"
Clozer,Legacy,Putt & Approach,"2, 3, 0, 2"
Clutch,Legacy,Putt & Approach,"2, 3, 0, 1"
Cobra,Innova,Mid-Range,"4, 5, -2, 2"
Cohort,Infinite Discs,Putt & Approach,"3, 4, 0, 1"
Colossus,Innova,Distance Driver,"14, 5, -2, 3"
Colt,Innova,Putt & Approach,"3, 3, -1, 1"
Comet,Discraft,Mid-Range,"4, 5, -2, 1"
Commander,Innova,Mid-Range,"5, 3, 0, 4"
Compass,Latitude 64,Mid-Range,"5, 5, 0, 1"
Condor,Innova,Mid-Range,"3, 4, 0, 2"
Convict,Dynamic Discs,Fairway Driver,"9, 4, 0, 3"
Core,Latitude 64,Mid-Range,"6, 5, 0, 1"
Corvette,Innova,Distance Driver,"14, 6, -1, 2"
Cosmos,Viking,Fairway Driver,""
Coupe,Innova,Putt & Approach,"2, 3, -1, 1"
Coyote,Innova,Mid-Range,"4, 5, 0, 1"
Crag,Vibram,Mid-Range,"4, 3, 0, 3"
Crank,Discraft,Distance Driver,"13, 5, -2, 2"
Crank SS,Discraft,Distance Driver,"13, 5, -3, 2"
Crave,Axiom,Fairway Driver,"7, 5, -1, 1"
Credo,Crosslap,Putt & Approach,"3, 2, 0, 3"
Criminal,Dynamic Discs,Fairway Driver,"10, 3, 1, 4"
Cro,Innova,Mid-Range,"5, 3, 0, 2"
Croc,Reptilian Disc Golf,Mid-Range,""
Crossbow,YiKun,Mid-Range,"4, 2, 0, 4"
Crossfire,Quest AT,Putt & Approach,"4, 8, -1, 2"
Crosshair,Discwing,Putt & Approach,""
Crown,Westside,Putt & Approach,"3, 4, 0, 1"
Cruise,Full Turn Discs,Distance Driver,""
Crush,Discraft,Distance Driver,"11, 5, 0, 4"
Culverin,Latitude 64,Fairway Driver,"9, 5, 0, 3"
Cutlass,Latitude 64,Distance Driver,"13, 5, 0, 3"
Cyborg,Arsenal,Fairway Driver,""
Cyclone,Discraft,Fairway Driver,"7, 4, -1, 3"
Cyclone 2,Discraft,Fairway Driver,""
Cypress,Above Ground Level Discs,Distance Driver,""
D Model Distance Driver S,ACE Disc Sports,Distance Driver,""
D Model OS,Prodigy Disc,Distance Driver,"13, 5, 0, 4"
D Model S,Prodigy Disc,Distance Driver,"13, 6, 0, 2"
D Model US,Prodigy Disc,Distance Driver,"12, 6, -4, 1"
D1,Prodigy Disc,Distance Driver,"12, 5, 0, 3"
D1 Max,Prodigy Disc,Distance Driver,"12, 5, 0, 3"
D2,Prodigy Disc,Distance Driver,"12, 6, -1, 3"
D2 Max,Prodigy Disc,Distance Driver,"12, 6, -1, 3"
D3,Prodigy Disc,Distance Driver,"12, 6, -2, 2"
D3 Max,Prodigy Disc,Distance Driver,"12, 6, -3, 1"
D4,Prodigy Disc,Distance Driver,"12, 6, -3, 2"
D4 Max,Prodigy Disc,Distance Driver,"12, 6, -4, 1"
D5,Prodigy Disc,Distance Driver,"12, 6, -4, 2"
D6,Prodigy Disc,Distance Driver,"12, 6, -4, 1"
DaE,YiKun,Distance Driver,"13, 5, 0, 2"
Daedalus,Innova,Distance Driver,"13, 6, -4, 2"
Dagger,Latitude 64,Putt & Approach,"2, 5, 0, 1"
Dart,Innova,Putt & Approach,"3, 4, 0, 0"
DD Hysteria,Discmania,Distance Driver,"11, 5, 0, 2"
DD–13 Starling,Disctroyer,Distance Driver,"[0, 0, 0, 0]"
DD-13 Starling,Disctroyer,Distance Driver,""
DD2 Frenzy,Discmania,Distance Driver,"13, 5, -2, 2"
"DD3 (Cloud Breaker, Distance Driver)",Discmania,Distance Driver,""
DD3 (retest),Discmania,Distance Driver,""
DDX,Discmania,Distance Driver,"12, 6, -1, 2"
Death Adder,Reptilian Disc Golf,Distance Driver,""
Defender,Dynamic Discs,Distance Driver,"13, 5, 0, 3"
Defender DT,Quest AT,Distance Driver,""
Deflector,MVP,Mid-Range,"5, 4, 0, 4"
Defy,Axiom,Distance Driver,"11, 4, 0, 3"
Delirium,Axiom,Distance Driver,"14, 5, 0, 3"
Delivery,Eurodisc,Putt & Approach,""
Demon,Gateway,Mid-Range,"6, 3, 0, 4"
Deputy,Dynamic Discs,Putt & Approach,"3, 4, -1, 0"
Destiny,Westside,Distance Driver,"14, 6, -2, 3"
Destroyer,Innova,Distance Driver,"12, 5, -1, 3"
Devil Hawk,Gateway,Mid-Range,"3, 3, 0, 2"
Diablo,Gateway,Distance Driver,"11, 5, -1, 2"
Diablo DT,Gateway,Distance Driver,""
Diamond,Latitude 64,Fairway Driver,"8, 6, -3, 1"
Diesel,Fly High Discs,Distance Driver,""
Dimension,MVP,Distance Driver,"14, 5, 0, 3"
Dolphin,Innova,Fairway Driver,""
Dominator,Innova,Distance Driver,"13, 5, -1, 2"
Double D,Quest AT,Distance Driver,""
Draco,Millennium,Fairway Driver,"9, 3, 0, 4"
Dragon,Innova,Distance Driver,"8, 5, -2, 2"
Dragonfly,AquaFlight Discs,Mid-Range,""
Drift,Streamline,Fairway Driver,"7, 5, -2, 1"
Drifter,Full Turn Discs,Fairway Driver,""
Driver,Lightning,Distance Driver,""
Drone,Discraft,Mid-Range,"5, 3, 1, 4"
Eagle,Innova,Fairway Driver,"7, 4, -1, 3"
Eagle-L (EL),Innova,Fairway Driver,""
Eclipse,Discraft,Fairway Driver,"7, 5, -2, 2"
EDGE Polecat,Innova,Putt & Approach,""
Element,Gateway,Mid-Range,"5, 5, -1, 1"
Element-X,Gateway,Mid-Range,""
EMAC Truth,Dynamic Discs,Mid-Range,"5, 5, 0, 2"
Emperor,Infinite Discs,Distance Driver,"12, 5, -1, 2"
Enemy,Legacy,Fairway Driver,"9, 3, 0, 4"
Energy,MVP,Distance Driver,"13, 4, 0, 4"
Enforcer,Dynamic Discs,Distance Driver,"12, 4, 0, 4"
Enigma,Discmania,Distance Driver,""
Entropy,MVP,Mid-Range,"4, 3, 0, 3"
Envy,Axiom,Putt & Approach,"3, 3, 0, 2"
Epic,Aerobie,Distance Driver,"11, 3, -2, 4"
Escape,Dynamic Discs,Fairway Driver,"9, 5, -1, 2"
ESP Driver,EMSCO Group,Fairway Driver,""
ESP Midrange,EMSCO Group,Mid-Range,""
ESP Putter,EMSCO Group,Putt & Approach,""
Essence,Discmania,Fairway Driver,"8, 6, -2, 1"
Evader,Dynamic Discs,Fairway Driver,"7, 4, 0, 2"
Evidence,Dynamic Discs,Mid-Range,"5, 5, -1, 0"
Excite,Axiom,Distance Driver,"14, 5, -2, 2"
Exodus,Infinite Discs,Fairway Driver,"7, 5, 0, 2"
EXP1,Millennium,Distance Driver,"7, 3, 0, 4"
Explorer,Latitude 64,Fairway Driver,"7, 5, 0, 2"
F Model Fairway Driver S,Prodigy Disc,Fairway Driver,""
F Model OS,Prodigy Disc,Fairway Driver,"10, 5, 2, 4"
F Model S,Prodigy Disc,Fairway Driver,"10, 5, 1, 3"
F Model US,Prodigy Disc,Fairway Driver,"10, 5, -2, 1"
F1,Prodigy Disc,Fairway Driver,"7, 4, 0, 3"
F2,Prodigy Disc,Fairway Driver,"7, 5, -1, 3"
F3,Prodigy Disc,Fairway Driver,"7, 5, -1, 2"
F5,Prodigy Disc,Fairway Driver,"7, 5, -2, 1"
F7,Prodigy Disc,Fairway Driver,"7, 5, -3, 1"
Fairway Driver,Wham-O,Fairway Driver,""
Falchion,Latitude 64,Fairway Driver,"8, 5, -1, 2"
Falcon,Millennium,Distance Driver,"13, 5, -2, 2"
Falk,Kastaplast,Fairway Driver,"9, 6, -2, 1"
FD Jackal,Discmania,Fairway Driver,""
FD-8 Stork,Disctroyer,Fairway Driver,""
FD2,Discmania,Fairway Driver,"7, 4, 0, 2"
FD3,Discmania,Fairway Driver,"9, 4, 0, 3"
Felon,Dynamic Discs,Distance Driver,"9, 3, 0, 4"
Fenris,Guru,Distance Driver,""
Fierce,Discraft,Putt & Approach,"3, 4, -2, 0"
Fighter,Legacy,Fairway Driver,"10, 3, 0, 4"
Fireball,Axiom,Distance Driver,"9, 3, 0, 3"
Firebird,Innova,Distance Driver,"9, 3, 0, 4"
Firebird-L (FL),Innova,Distance Driver,""
Firefly,Innova,Putt & Approach,"2, 3, 0, 1"
Firestorm,Innova,Distance Driver,"14, 4, 0, 3"
Flagship,Skyiron,Distance Driver,""
Flare,Streamline,Fairway Driver,"9, 4, 0, 3"
Flash,Discraft,Distance Driver,"10, 5, -2, 3"
Flashflight LED Driver,Nite Ize,Distance Driver,""
Flashflight LED Midrange,Nite Ize,Mid-Range,""
Flashflight LED Putter,Nite Ize,Putt & Approach,""
Flathead Cyclone,DGA,Fairway Driver,"7, 4, -1, 3"
Flatline,Salient Discs,Fairway Driver,""
Flick,Discraft,Distance Driver,"12, 3, 1, 5"
Flow,Latitude 64,Distance Driver,"11, 6, 0, 2"
Flying Squirrel,ABC,Mid-Range,"6, 5, -3, 2"
Focus,Discraft,Putt & Approach,"2, 3, -1, 2"
Force,Discraft,Distance Driver,"12, 5, 0, 3"
Fortress,Westside,Fairway Driver,"10, 4, 0, 3"
Four20,Vibram,Distance Driver,""
Fox Spirit,Discmania,Mid-Range,""
Foxbat,Innova,Mid-Range,"5, 6, -1, 0"
Fracture,Salient Discs,Distance Driver,""
Freedom,Dynamic Discs,Distance Driver,"14, 5, -3, 3"
Freetail,Mint Discs,Fairway Driver,"10, 6, -3, 2"
Fu,Yikun,Fairway Driver,"7, 5, 0, 2"
Fugitive,Dynamic Discs,Mid-Range,"5, 5, 0, 1"
Fuji,Latitude 64,Mid-Range,"4, 4, 0, 2"
Fury,Latitude 64,Distance Driver,"9, 6, -2, 2"
Fuse,Latitude 64,Mid-Range,"5, 6, -1, 0"
FX-2,Prodigy Disc,Fairway Driver,"9, 4, -1, 3"
Gamma Ray,ABC,Distance Driver,"9, 4, -2, 2"
Gatekeeper,Westside,Mid-Range,"4, 5, 0, 2"
Gator,Innova,Mid-Range,"5, 2, 0, 3"
Gator3,Innova,Mid-Range,"5, 2, 0, 3"
Gauge,Legacy,Mid-Range,"5, 5, 0, 1"
Gauntlet,Latitude 64,Putt & Approach,"2, 4, 0, 1"
Gavel,Dynamic Discs,Putt & Approach,"3, 5, -2, 0"
Gazelle,Innova,Fairway Driver,"6, 4, 0, 2"
Genesis,CHING,Distance Driver,"11, 4, 0, 4"
Genius,Discmania,Fairway Driver,"7, 5, -4, 1"
Getaway,Dynamic Discs,Fairway Driver,"9, 5, 0, 3"
Ghost,Legacy,Mid-Range,"4, 5, 0, 3"
Giant,Westside,Distance Driver,"13, 4, 0, 3"
Gila,Reptilian Disc Golf,Mid-Range,"5, 4, 0, 3"
Gladiator,Latitude 64,Distance Driver,"13, 5, 0, 3"
Glide,Discraft,Fairway Driver,"6, 5, -3, 2"
GlowFly,DGA,Putt & Approach,""
GM Gremlin,Discmania,Mid-Range,""
Gobi,Latitude 64,Mid-Range,"6, 5, 0, 1"
Goblin,Innova,Mid-Range,""
Gopher,Innova,Putt & Approach,""
Gote,Kastaplast,Mid-Range,"4, 5, 0, 1"
Gou,YiKun,Fairway Driver,"8, 5, -4, 1"
Grabboid,RIP,Putt & Approach,""
Grace,Latitude 64,Distance Driver,"11, 6, -1, 2"
Gray Jay,Daredevil,Distance Driver,"14, 4, 0, 5"
Great Horned Owl,Daredevil,Putt & Approach,"2, 3, 0, 1"
Griffin,Innova,Mid-Range,"5, 3, 1, 3"
Grizzly,Daredevil,Mid-Range,"4, 4, -1, 2"
Groove,Innova,Distance Driver,"13, 6, -2, 2"
Grym,Kastaplast,Distance Driver,"13, 5, -1, 2"
Grym X,Kastaplast,Distance Driver,"12, 5, 0, 3"
Guard,Dynamic Discs,Putt & Approach,"2, 5, 0, 0"
Gui,YiKun,Putt & Approach,"2, 3, 0, 2"
H1,Prodigy Disc,Distance Driver,"10, 3, 0, 3"
H2,Prodigy Disc,Distance Driver,"9, 5, 0, 2"
H3,Prodigy Disc,Distance Driver,"9, 4, 0, 2"
H4,Prodigy Disc,Distance Driver,"9, 5, -2, 1"
H5,Prodigy Disc,Distance Driver,"9, 5, -3, 1"
Habit,Plastic Addicts,Putt & Approach,"3, 5, -1, 0"
Hades,Discraft,distance driver,"12, 6, -3, 2"
Hail Mary,DKG,Distance Driver,""
Halo,Latitude 64,Distance Driver,"13, 5, 0, 3"
Hammer,Innova,Putt & Approach,"2, 2, -1, 2"
Hammer (Chui),YiKun,Putt & Approach,"2, 3, 0, 3"
Harp,Westside,Putt & Approach,"4, 3, 0, 3"
Hatchet,Westside,Fairway Driver,"9, 6, -2, 1"
Havoc,Latitude 64,Distance Driver,"13, 5, -1, 3"
Hawg,Innova,Putt & Approach,"2, 1, 0, 3"
Hawk,Discraft,Mid-Range,"4, 5, -2, 2"
Hawkeye,Discraft,Mid-Range,""
Heat,Discraft,Distance Driver,"9, 6, -3, 1"
Helios,Snap Disc,Distance Driver,""
Hellfire,DGA,Distance Driver,"10, 3, 0, 5"
Honey,Essential Discs,Mid-Range,""
Hornet,Discraft,Mid-Range,"5, 5, 0, 4"
Hu,YiKun,Fairway Driver,"9, 5, -2, 2"
Huia (DGFD1),RPM Discs,Fairway Driver,""
Hummingbird,Wild Discs,Putt & Approach,"2, 4, 0, 1"
Hunter,Legacy,Putt & Approach,"2, 4, 0, 0"
Hurricane,DGA,Distance Driver,"12, 5, -1, 2"
Hybrid,Gateway,Fairway Driver,"7, 4, 0, 3"
Hydra,Innova,Mid-Range,"3, 3, 0, 2"
Hypercane,DGA,Distance Driver,"13, 4, 0, 4"
Hyperion,Ozone Discs,Distance Driver,"11, 4, 0, 4"
I-One,Cheengz,Mid-Range,"5, 5, 0, 0"
Ibex,Vibram,Mid-Range,"5, 4, -1, 1"
Illusion,Gateway,Distance Driver,"11, 5, -1, 3"
Impact,Discraft,Mid-Range,"5, 5, -2, 2"
Impulse,MVP,Distance Driver,"9, 5, -3, 1"
Inca,Infinite Discs,Mid-Range,"5, 5, 0, 3"
Inertia,MVP,Distance Driver,"9, 5, -2, 2"
Inertia (Fairway),MVP,Distance Driver,""
Inferno,Quest AT,Distance Driver,""
Insanity,Axiom,Distance Driver,"9, 5, -2, 1"
Insanity (Speed 9),Axiom,Distance Driver,""
Inspire,Axiom,Fairway Driver,"7, 4, -1, 2"
Instinct (150-175g),Discmania,Fairway Driver,""
Intervention,Plastic Addicts,Distance Driver,"12, 5, -1, 4"
Invader,Innova,Putt & Approach,"3, 2, 0, 1"
Invictus,Innova,Distance Driver,"11, 4, 0, 3"
Ion,MVP,Putt & Approach,"3, 3, 0, 1"
Iridium,Element Discs,Putt & Approach,"2, 3, 0, 2"
Jack the Ripper,Fly High Discs,Fairway Driver,""
Jade,Latitude 64,Fairway Driver,"9, 5, -2, 1"
Jaguar,Innova,Mid-Range,"5, 6, -3, 2"
Jiao,YiKun,Fairway Driver,"6, 5, -2, 1"
JK Pro Aviar-X,Innova,Putt & Approach,""
JLS,Millennium,Fairway Driver,"8, 5, -2, 2"
JOKERi,Prodiscus,Putt & Approach,"4, 3, 0, 2"
Journey,Gateway,Distance Driver,"12, 6, -2, 1"
Judge,Dynamic Discs,Putt & Approach,"2, 4, 0, 1"
Juju,CHING,Putt & Approach,"3, 4, -1, 1"
Jun,YiKun,Distance Driver,"11, 5, -1, 2"
Justice,Dynamic Discs,Mid-Range,"5, 1, 0, 4"
K-2,Lightning,Mid-Range,""
Ka-Kaa,Las Aves,Distance Driver,""
Kahu,RPM Discs,Distance Driver,"13, 5, -1, 3"
Karma,Gateway,Mid-Range,"7, 5, -1, 2"
Katana,Innova,Distance Driver,"13, 5, -3, 3"
Kaxe,Kastaplast,Mid-Range,"6, 4, 0, 3"
Kaxe Z,Kastaplast,Mid-Range,"6, 5, 0, 2"
KC Pro Aviar,Innova,Putt & Approach,""
Kea,RPM Discs,Mid-Range,"5, 5, 0, 3"
Keystone,Latitude 64,Putt & Approach,"2, 5, -1, 1"
KGB,Fly High Discs,Mid-Range,""
King,Westside,Distance Driver,"14, 5, -1, 3"
King Cobra,Innova,Mid-Range,"4, 5, 0, 2"
Kite,Innova,Mid-Range,"5, 6, -3, 1"
Kiwi,RPM Discs,Fairway Driver,"10, 4, 0, 3"
Knife,Viking,Putt & Approach,""
Knight,Latitude 64,Distance Driver,"14, 4, -1, 4"
Kotare,RPM Discs,Distance Driver,"12, 5, 0, 3"
Kotuku,RPM Discs,Mid-Range,"5, 5, 0, 2"
Krait,Innova,Distance Driver,"11, 5, -1, 2"
Kraken,DKG,Distance Driver,""
Kraken (Divergent),Divergent Discs,Fairway Driver,""
Kui,YiKun,Mid-Range,"5, 5, 0, 2"
Kyng Roller,TOBU Discs,Fairway Driver,""
L13,Skyquest,Distance Driver,""
Lace,Vibram,Distance Driver,"14, 6, -1, 1"
LASERi,Prodiscus,Fairway Driver,"10, 6, -1, 1"
Launch,Vibram,Mid-Range,"5, 5, -1, 2"
Legacy,CHING,Mid-Range,"4, 5, -1, 2"
LEGENDa,Prodiscus,Distance Driver,"13, 5, -1, 2"
Leopard,Innova,Fairway Driver,"6, 5, -2, 1"
Leopard3,Innova,Fairway Driver,"7, 5, -2, 1"
Leviathan,Divergent Discs,Mid-Range,"5, 4, -4, 0"
Lex,Disc King,Putt & Approach,"2, 3, 0, 1"
Lex (Original),UB Disc Golf,Putt & Approach,""
Lift,Streamline,Fairway Driver,"9, 5, -2, 1"
Limit,MVP,Distance Driver,"14, 4, 0, 4"
Link,Discmania,Putt & Approach,"2, 3, 0, 1"
Lion,Innova,Mid-Range,"5, 4, 0, 2"
Lithium,Element Discs,Mid-Range,"5, 4, -2, 1"
Lock Jaw,Salient Discs,Putt & Approach,""
Logic,Discmania,Putt & Approach,"3, 3, 0, 1"
Longbowman,Westside,Fairway Driver,"9, 4, 0, 3"
Longhorn,Mint,Distance Driver,""
Lots,Kastaplast,Fairway Driver,"9, 5, -1, 2"
Lu,YiKun,Distance Driver,"14, 5, -1, 3"
Lucky,Crosslap,Mid-Range,"5, 5, -2, 1"
Luna,Discraft,Putt & Approach,"3, 3, 0, 3"
Lycan,Innova,Mid-Range,"4, 5, 0, 1"
